1,Perrache,"21 Place Carnot"
2,"Ampère Victor Hugo","45 Rue Victor Hugo"
3,Cordeliers,"24 Rue de la République"
4,Foch,"7 Cours Franklin Roosevelt"
5,Masséna,"29 Cours Vitton"
6,"République Villeurbanne","104 Cours Emile Zola"
7,Gratte-Ciel,"181 Cours Emile Zola"
8,Flachet,"263 Cours Emile Zola"
9,Cusset,"355 Cours Emile Zola"
10,"Laurent Bonnevay","419 Cours Emile Zola"
11,"Vaulx-en-Velin La Soie","7 Allée du textile"
12,Brotteaux,"13 Place Jules Ferry"
13,"Gare Part-Dieu V.Merle","31 Boulevard Marius Vivier Merle"
14,"Place Guichard","1 place Guichard"
15,"Jean Macé","13 Avenue Jean Jaurès"
16,"Place Jean Jaurès","176 Avenue Jean Jaurès"
17,Debourg,"255 Avenue Jean Jaurès"
18,"Stade de Gerland Le Lou","329 Avenue Jean Jaurès"
19,"Gare d'Oullins","Avenue du Rhone"
20,"Croix Paquet","26 Montée St Sébastien"
21,Croix-Rousse,"158 Boulevard de la Croix Rousse"
22,Hénon,"54 Rue Hénon"
23,Cuire,"18 Rue de la Gare Cuire"
24,"Gare de Vaise","16 Rue du 24 mars 1852"
25,Valmy,"1 Place Valmy"
26,"Gorge du Loup","57 rue du Sergent Michel Berthet"
27,"Vieux Lyon","1 Avenue du Doyenne"
28,"Guillotière Gabriel Péri","16 Rue Gambetta"
29,Garibaldi,"110 Cours Gambetta"
30,"Sans souci","40 Cours Albert Thomas"
31,"Monplaisir Lumière","107 B Albert Thomas"
32,"Grange Blanche","10 Place d'Arsonval"
33,Laennec,"10 Guillaume Paradin"
34,"Mermoz Pinel","218 Boulevard Pinel"
35,Parilly,"150 Avenue Viviani"
36,"Gare de Vénissieux","2 Boulevard Ambroise Croizat"
37,Charpennes,"20 Cours Emile Zola"
38,"Hôtel de Ville","1 Rue de la République"
39,Bellecour,"1 Place Le Viste"
40,"Saxe - Gambetta","1 Cours Gambetta"
